source_record_id,batch_id,dispatch_ts,zone,priority,response_minutes,temp_c,precip_mm,hospital_id
AMB-ebed3a49bda4,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 07:56:54+00:00,Z2,2,7.3,16.3,0.0,H002
AMB-262587ffd1aa,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 08:59:25+00:00,Z7,1,8.0,18.4,0.0,H005
AMB-cd5fdb0f2085,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 08:50:16+00:00,Z8,3,6.7,18.4,0.0,H005
AMB-d25d15e84d3d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 08:24:58+00:00,Z2,1,4.3,18.4,0.0,H004
AMB-ab53fd9d0f24,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 10:40:28+00:00,Z2,2,7.1,21.6,0.0,H003
AMB-5138d881af50,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 10:40:25+00:00,Z3,2,25.9,21.6,0.0,H001
AMB-3b19c5085acd,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 11:41:03+00:00,Z1,1,10.1,22.9,0.0,H002
AMB-c596f101b4e7,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 11:08:03+00:00,Z3,3,29.8,22.9,0.0,H003
AMB-b0c125ca7fee,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 12:33:14+00:00,Z8,2,17.9,23.9,0.0,H003
AMB-4865f593351d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 12:16:47+00:00,Z1,2,10.3,23.9,0.0,H002
AMB-9d005a647a5f,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 12:53:10+00:00,Z8,1,5.6,23.9,0.0,H001
AMB-14106a1b6711,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 13:24:16+00:00,Z6,2,18.8,24.6,0.0,H001
AMB-935622952a38,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 14:39:54+00:00,Z8,2,10.6,24.9,0.0,H004
AMB-3a0c5e511f1a,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 14:59:02+00:00,Z6,2,10.8,24.9,0.0,H001
AMB-8cbd31c47c5b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 15:31:31+00:00,Z3,1,8.3,24.8,0.0,H001
AMB-47802c97b1ed,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 15:40:26+00:00,Z5,3,16.9,24.8,0.0,H002
AMB-a3fec02ba3ef,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 15:18:19+00:00,Z3,3,4.0,24.8,0.0,H001
AMB-fc78f4e235ee,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 15:02:34+00:00,Z3,2,8.6,24.8,0.0,H002
AMB-7ba9dd88d3c9,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 15:02:18+00:00,Z5,2,13.2,24.8,0.0,H004
AMB-1bc24325632e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 15:05:52+00:00,Z8,2,10.3,24.8,0.0,H003
AMB-ead1733c2c20,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 16:33:46+00:00,Z6,1,10.2,24.4,0.0,H005
AMB-7e202f9eed60,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 16:31:24+00:00,Z4,2,7.8,24.4,0.0,H002
AMB-c12e7da516f9,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 16:07:33+00:00,Z8,1,11.2,24.4,0.0,H004
AMB-652f6981fe93,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 17:58:57+00:00,Z4,3,4.5,23.9,0.0,H004
AMB-92ce889e93c2,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 17:38:37+00:00,Z3,2,8.2,23.9,0.0,H002
AMB-569e41af3a3e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 18:54:04+00:00,Z7,2,11.9,23.1,0.0,H004
AMB-ca6ba71ba0ed,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 18:15:04+00:00,Z7,3,16.7,23.1,0.0,H001
AMB-1090a8653156,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 18:29:27+00:00,Z8,2,15.4,23.1,0.0,H002
AMB-29eb76a6f40d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 19:25:41+00:00,Z2,1,4.4,22.1,0.0,H002
AMB-edd871c2b672,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 19:15:35+00:00,Z1,1,7.6,22.1,0.0,H005
AMB-7f72f1366138,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 19:36:44+00:00,Z4,3,33.7,22.1,0.0,H005
AMB-285130aff0b8,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 19:28:04+00:00,Z1,1,3.7,22.1,0.0,H002
AMB-73cb3b2d8073,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 19:55:13+00:00,Z4,3,15.0,22.1,0.0,H004
AMB-c838e4794a9f,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 19:09:09+00:00,Z4,3,10.6,22.1,0.0,H005
AMB-9e3d4ed065db,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 20:43:32+00:00,Z8,2,10.5,20.8,0.0,H005
AMB-e9587cceec79,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 20:38:39+00:00,Z6,1,1.8,20.8,0.0,H001
AMB-54a878af40ff,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 21:26:55+00:00,Z1,1,14.6,19.5,0.0,H003
AMB-4cb5503bbb53,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 21:04:20+00:00,Z8,1,3.9,19.5,0.0,H003
AMB-c7b8e8238d12,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 22:25:28+00:00,Z6,1,9.7,18.5,0.0,H001
AMB-a0841f759bc6,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 22:54:39+00:00,Z1,2,4.6,18.5,0.0,H004
AMB-70c92a447d2b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 23:19:30+00:00,Z5,2,8.5,17.8,0.0,H004
AMB-c37773ffabdf,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 23:12:25+00:00,Z8,2,17.2,17.8,0.0,H002
AMB-1bb6f366d176,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 23:58:35+00:00,Z3,3,45.5,17.8,0.0,H004
AMB-953ad81e1670,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 23:48:22+00:00,Z8,3,17.0,17.8,0.0,H001
AMB-5175d851c42d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-13 23:46:34+00:00,Z3,2,7.3,17.8,0.0,H001
AMB-9541a7ec0bda,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 00:02:49+00:00,Z3,3,9.2,16.9,0.0,H004
AMB-1d6d61940334,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 00:36:00+00:00,Z7,3,24.0,16.9,0.0,H003
AMB-de383abddd0d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 00:45:19+00:00,Z1,3,22.4,16.9,0.0,H002
AMB-1998b8ba24e5,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 00:41:59+00:00,Z4,3,6.1,16.9,0.0,H001
AMB-da3a44733c0c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 00:52:50+00:00,Z6,2,16.9,16.9,0.0,H005
AMB-9592e0c9b2e6,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 01:17:12+00:00,Z3,1,7.5,15.9,0.0,H004
AMB-104034933ab9,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 02:39:10+00:00,Z2,2,9.6,15.3,0.0,H002
AMB-5fb3dff5ecaf,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 02:23:43+00:00,Z7,2,15.6,15.3,0.0,H001
AMB-35aed58f8483,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 02:00:08+00:00,Z7,2,10.2,15.3,0.0,H001
AMB-f2970f997ef4,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 03:01:21+00:00,Z3,1,1.0,14.8,0.0,H002
AMB-99c3fb646cb6,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 03:13:28+00:00,Z1,2,24.7,14.8,0.0,H001
AMB-b5e8d41f8c24,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 03:07:18+00:00,Z5,3,6.4,14.8,0.0,H002
AMB-cdc83d258b49,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 04:17:40+00:00,Z8,2,5.2,15.2,0.0,H005
AMB-0b168f627052,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 04:15:18+00:00,Z4,2,4.1,15.2,0.0,H001
AMB-9d68173fd577,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 04:17:40+00:00,Z1,1,12.4,15.2,0.0,H003
AMB-4a7a4d9511aa,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 04:17:48+00:00,Z4,2,10.2,15.2,0.0,H004
AMB-72346c0421fc,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 04:31:08+00:00,Z3,3,10.0,15.2,0.0,H004
AMB-8c8738dbf1cc,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 05:31:33+00:00,Z7,1,11.6,16.5,0.0,H004
AMB-ee40b975975d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 05:02:23+00:00,Z8,1,7.7,16.5,0.0,H005
AMB-7a9f528492de,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 05:35:35+00:00,Z5,1,5.8,16.5,0.0,H005
AMB-93ae1c50a5c1,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 05:44:28+00:00,Z7,2,11.3,16.5,0.0,H004
AMB-7bc3afcc0ae9,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 05:25:54+00:00,Z3,3,13.4,16.5,0.0,H001
